"Species","Long","Lat","aspect","depth","diameter","drain","elevation","ense","fage","fdens","ftype","geolo","relief","plcurv","prcurv","sdc","slope","spi","sti","stype","twi"
"slide",201810.8892,441577.4555,4,3,1,64.0312,112.465,0.02,1,1,3,3,18.0052,0.144107,0.130184,3,18.1587,0.504387,2.70592,1,2.2134
"slide",199348.8231,440375.4798,6,2,1,90,107.606,0.07,1,1,3,3,21.742,0.302929,0.0862241,3,20.5337,0.559108,3.15543,1,2.08063
"slide",200602.6174,440524.1051,6,3,1,53.8517,151.76,0.18,1,1,3,3,30.6569,0.109968,0.25157,2,29.0165,1.58572,7.93799,3,2.66879
"slide",200777.6396,441173.404,8,1,1,80.6226,240.001,0.05,1,1,2,3,17.406,-0.251107,-0.262718,0,16.9064,0.795605,3.26325,0,2.80034
"slide",202062.9078,441814.2597,9,3,1,36.0555,84.2799,0.02,1,1,3,3,14.4969,0.845254,-2.32023,3,14.0721,0,0,1,1.38364
"slide",201542.2906,441298.0354,5,4,1,10,113.987,0.02,1,1,3,2,21.865,-0.318533,0.350328,2,21.0995,1.79445,6.90061,3,3.59135
"slide",201148.1201,441048.0168,5,3,1,14.1421,184.257,0.12,3,1,3,2,23.9771,-0.28146,-0.0777243,2,27.0338,0.928539,5.19755,3,2.05911
"slide",201383.8438,441800.5889,9,3,1,50.9902,106.848,0.09,1,1,3,3,17.9795,-2.29381,1.05619,3,17.9088,2.48386,8.25908,1,4.68495
"slide",201238.5816,441439.2618,9,3,1,40,165.706,0.16,1,1,3,3,25.4847,-0.50405,0.198922,3,24.8285,1.19796,5.75197,1,2.56251
"slide",200638.5953,441352.245,1,4,1,20,174.524,0.06,1,1,3,3,24.02,0.337265,-0.366577,2,24.9301,0.657338,4.00683,3,1.86471
"slide",202536.9893,441969.457,6,3,1,44.7214,64.2693,0.1,1,1,3,3,15.098,-2.36149,0.183204,2,13.1249,2.24007,5.69738,3,5.06693
"slide",200693.7756,441132.2472,1,1,1,50,239.997,0.02,1,1,2,3,12.5094,-0.397211,0.14414,0,14.2868,1.02337,3.29738,0,3.4473
"slide",200918.8593,439839.7637,5,2,1,44.7214,95.0137,0.07,1,1,3,3,18.2011,0.584,-0.555495,3,24.5315,1.18844,5.66824,1,2.57617
"slide",200633.9871,441096.1353,8,1,1,44.7214,249.878,0.1,1,1,3,3,19.0479,-0.100428,-0.989588,0,17.9055,0.498466,2.65858,0,2.22842
"slide",202471.3445,442051.0331,6,1,1,111.803,73.7701,0.23,1,1,3,3,14.3281,-0.87055,-0.782362,3,17.2512,0.270433,1.92259,1,1.86262
"slide",201153.0231,440337.1585,4,2,1,130.384,138.448,0.02,1,1,3,3,13.6441,0.67498,-0.282142,3,14.5221,0.230341,1.54581,1,2.04396
"slide",199435.3207,440550.3927,8,2,1,90,131.159,0.08,1,2,3,3,24.5606,0.900916,-0.234475,3,26.9822,0.411536,3.34158,1,1.36819
"slide",200751.7673,440117.72,2,3,1,40,79.6731,0.02,1,1,3,3,11.8115,-0.0377245,0.0282393,2,11.8425,1.13039,2.99244,3,3.96004
"slide",200606.2678,440606.5028,6,2,1,58.3095,177.644,0.15,1,1,3,3,24.5203,0.306015,0.150208,3,23.8314,0.633086,3.79234,1,1.91572
"slide",200265.2536,440710.9221,7,2,1,140,235.474,0.06,1,1,3,3,12.5313,0.0499649,-0.218025,3,15.4958,0.441148,2.21496,1,2.38146
"slide",200850.5345,441201.1812,9,1,1,150,247.321,0.04,1,1,3,3,21.1678,0.740719,-1.14106,0,24.1598,0.640354,3.85637,0,1.90029
"slide",200393.073,441318.4775,8,2,1,116.619,138.861,0.42,1,1,3,3,32.3768,-0.990206,-0.132693,3,30.1266,1.8282,9.17589,1,2.8468
"slide",202674.8451,441627.8022,6,3,1,156.205,45.2624,0.02,1,1,3,3,20.5561,-0.238336,-0.0232062,2,18.3426,0.977467,3.95353,3,2.89576
"slide",200744.8227,440507.9208,4,3,1,40,139.679,0.34,1,1,3,3,36.8796,-0.198806,0.667191,2,34.5278,1.49065,8.49548,3,2.16573
"slide",202225.1795,441500.6167,1,3,1,110,76.0715,0.02,1,1,2,3,20.461,-0.196819,0.920223,2,19.9321,1.36124,5.29416,3,3.2116
"slide",200660.3652,441480.0043,8,3,1,42.4264,139.167,0.02,1,1,3,3,22.8248,1.08949,0.0205795,3,22.1009,1.23444,5.36413,1,2.84712
"slide",201317.7066,440960.61,5,3,1,70.7107,147.685,0.14,1,1,3,2,24.6523,-0.579775,-0.0985429,2,29.3291,1.88986,9.27235,3,2.97443
"slide",202639.0946,441834.6648,6,1,1,114.018,74.8777,0.4,1,1,3,3,21.1532,-1.37638,-0.133653,3,22.0928,0.594332,3.45503,1,2.00024
"slide",199519.8285,440708.7396,1,2,1,20,120.128,0.04,1,1,3,3,14.0395,0.381468,0.306601,3,16.4026,0.462935,2.38035,1,2.32155
"slide",201127.718,440678.4648,3,3,1,10,167.471,0.12,1,1,3,2,18.9064,-1.34867,0.465749,2,18.7938,1.4823,5.37816,3,3.4758
"slide",202031.3529,441743.7451,3,3,1,64.0312,91.1769,0.02,1,1,3,3,19.0749,0.235162,-0.75875,3,21.2769,0,0,1,0.943097
"slide",200500.8865,440754.2246,6,1,2,10,201.54,0.07,1,1,3,3,20.377,-0.944083,0.795022,0,22.4538,4.32266,21.3224,0,6.08215
"slide",199579.5261,440591.8035,9,2,1,80.6226,156.971,0.86,1,1,3,3,27.5222,-4.0156,0.907925,3,27.3818,2.80569,13.2577,1,4.09187
"slide",202171.2013,441734.1933,9,3,1,120,74.0575,0.06,1,1,3,3,17.2057,-0.507073,-1.23481,3,18.5625,0.696853,3.27145,1,2.47751
"slide",199460.7761,439984.0144,9,4,1,60,129.85,0.06,1,1,3,3,24.068,0.289535,-0.181527,2,26.9244,0.925685,5.17226,3,2.06383
"slide",201812.4323,440899.8373,2,4,1,150.333,93.5162,0.01,1,1,3,3,21.7371,0.28198,-0.373958,2,23.5445,1.15647,5.39063,3,2.62248
"slide",199445.4122,440703.3794,7,2,1,100,109.738,0.1,1,2,3,3,16.8552,-0.713252,-0.119655,3,19.4114,0.879427,3.88179,1,2.65248
"slide",201118.6201,440776.2546,2,2,1,90,196.027,0.04,3,1,3,2,21.1523,0.0455868,-0.27233,3,20.3162,0.554151,3.11387,1,2.09224
"slide",202775.1285,441666.1875,3,1,1,120.416,68.0199,0.01,1,1,3,3,10.9233,1.04487,0.0731486,3,9.18711,0,0,1,1.8218
"slide",201000.4139,440532.5598,6,3,1,31.6228,149.606,0.58,1,1,3,3,30.1767,-1.73214,0.379689,2,30.4108,1.36985,7.33394,3,2.32457
"slide",200555.2012,441415.9771,8,4,1,40,140.77,0.13,1,1,3,3,30.5923,-0.0203576,0.186521,2,30.5561,1.21238,6.74538,3,2.13645
"slide",202620.8013,441723.9159,7,1,1,53.8517,49.3583,0.14,1,1,3,3,21.6258,0.475315,0.241692,3,23.1065,0.355343,2.7672,1,1.54489
"slide",201817.4849,441620.2281,5,3,1,107.703,127.792,0.04,1,1,3,3,20.2175,-0.60643,0.687203,3,22.5734,1.12447,5.11867,1,2.66952
"slide",199401.0542,439954.2532,1,2,1,92.1954,134.023,0.04,1,1,3,3,10.2676,0.147927,-1.19079,3,12.1736,0.195341,1.23414,1,2.2269
"slide",202632.4674,441697.9627,7,3,1,78.1025,47.5719,0.04,1,1,3,3,20.1905,-0.0874718,0.0321076,2,20.6152,1.18083,4.92089,3,2.9236
"slide",201948.4696,441740.1489,3,3,1,42.4264,97.5148,0.04,1,1,3,3,18.2304,-0.761278,1.5618,2,17.43,1.16243,4.24194,3,3.23795
"slide",201539.2834,440886.765,6,3,1,110,117.458,0.01,1,2,3,2,19.1793,0.339836,0.540306,3,19.0942,0.52611,2.88184,1,2.15944
"slide",200983.8175,441346.2539,1,3,1,130.384,196.221,0.02,1,1,3,3,16.0857,-0.461646,0.519845,3,18.5137,1.10166,4.30247,1,3.03995
"slide",202181.483,441626.9607,4,3,1,10,69.16,0.05,1,1,2,3,17.5681,0.327347,0.0757986,2,20.4238,0.316539,2.37544,3,1.68102
"slide",202216.1355,441790.1867,8,3,1,138.924,70.4009,0.03,1,1,3,3,19.7238,0.381845,-0.931319,3,26.0272,0.397648,3.19947,1,1.40993
"slide",199374.6908,440262.6522,5,4,1,36.0555,102.431,0.01,1,1,3,3,15.5922,0.537135,0.366404,2,19.717,0.730037,3.528,3,2.41244
"slide",201654.5307,441032.2213,3,4,1,70.7107,115.11,0.01,1,2,3,2,20.0493,0.272509,-0.132681,2,27.0594,0.929206,5.20346,3,2.05801
"slide",200874.8094,440905.2837,2,1,1,72.111,252.315,0.45,1,1,2,2,42.4109,-0.714214,-0.0318412,0,39.1333,1.44799,8.93532,0,1.81567
"slide",201320.1909,440249.7388,3,2,2,70,103.24,0.03,2,1,2,3,16.9289,0.273661,-0.251462,3,21.8467,0.956923,4.49629,1,2.52344
"slide",201950.8323,441628.8241,2,3,1,141.421,108.138,0.06,1,1,3,3,25.5048,-0.976931,0.765531,3,27.6957,1.9131,8.99722,1,3.12942
"slide",201022.2091,441179.1275,3,3,1,98.9949,242.77,0.1,3,1,3,3,24.5121,-1.04668,0.247588,3,25.6387,1.75777,7.89173,1,3.13197
"slide",199569.2253,440203.5646,7,4,1,20,139.34,0.11,1,1,3,3,19.3735,-1.59902,-0.366062,2,20.8605,2.99841,11.6616,3,4.89659
"slide",201040.9321,440824.2554,1,2,1,82.4621,217.1,0.29,3,1,3,2,36.101,-0.0503807,-0.508022,3,33.8698,0.851183,5.76064,1,1.49729
"slide",200149.2209,441172.9491,9,4,1,30,112.266,0.08,1,1,3,3,19.9808,-1.41939,0.820854,2,18.9673,1.40933,5.21589,3,3.3706
"slide",200888.7583,440533.8003,4,2,1,84.8528,164.484,0.62,1,1,3,3,27.994,-1.75081,-0.277555,3,28.3451,0.431431,3.54467,1,1.31034
"slide",200678.4692,439950.2254,3,2,1,155.242,145.277,0.03,1,1,4,3,17.4214,0.397066,0.224534,3,22.6205,0.810947,4.18343,1,2.26173
"slide",200592.2998,441451.1688,1,2,1,28.2843,138.521,0.06,1,1,3,3,17.8063,0.723333,-0.523249,3,21.9623,1.22951,5.32258,1,2.85408
"slide",201508.9201,440914.5712,6,3,1,80,119.944,0.04,1,1,3,2,22.4573,-0.16297,0.270074,2,23.3881,1.6724,7.05507,3,3.23609
"slide",202079.5797,441596.4383,3,3,1,92.1954,100.073,0.08,1,1,3,3,20.3666,-0.520051,-0.725343,3,23.9932,0.848122,4.49717,1,2.19578
"slide",200707.2774,440477.1853,3,2,1,60.8276,147.813,0.42,1,1,3,3,27.6086,-0.957825,-0.240266,3,28.838,1.16392,6.29958,1,2.20615
"slide",199371.0055,440484.2067,6,4,1,20,102.543,0.04,1,2,3,3,21.948,-0.151553,0.482304,2,23.8201,1.01736,5.00114,3,2.42708
"slide",200264.8646,440743.3566,8,2,1,128.063,233.593,0.06,1,1,3,3,19.1459,0.561953,-0.79051,3,21.2962,0,0,1,0.942102
"slide",200415.5813,440918.1128,8,1,1,142.127,255.532,0.05,1,1,3,3,15.4125,-0.332412,-1.21455,0,17.5666,0.667692,3.05243,0,2.53648
"slide",199476.9121,440328.7732,5,2,1,14.1421,125.363,0.25,1,1,3,3,25.2563,0.463739,0.0449232,3,34.4902,1.11877,6.91687,1,1.76167
"slide",200363.7921,440516.7898,2,2,1,72.111,209.259,0.15,1,1,3,3,26.4158,0.357228,0.0905354,3,29.2823,1.88823,9.25481,1,2.97634
"slide",199712.6143,439670.0574,4,3,1,64.0312,117.475,0.51,1,1,3,3,34.5207,-1.34996,0.24461,4,32.3712,1.2629,7.21511,1,2.06528
"slide",200792.7157,440804.7646,6,1,1,64.0312,243.397,0.33,1,1,3,2,37.0306,-1.10639,0.707832,0,34.3396,1.4852,8.44272,0,2.17278
"slide",202107.6857,441576.5006,2,3,1,80.6226,94.6293,0.19,1,1,3,3,26.8409,-0.860432,0.26366,2,27.544,0.941815,5.31549,3,2.03726
"slide",200788.2265,440296.6919,3,3,1,36.0555,95.1311,0.04,1,1,3,3,14.6039,0.036439,-0.351584,2,16.4167,0.258227,1.80593,3,1.91517
"slide",200100.5747,440515.2902,6,4,1,90.5538,205.606,0.07,1,1,3,3,28.0494,-0.0521322,-0.0967794,3,27.9196,0.72262,4.59353,1,1.73366
"slide",202201.6697,441756.3093,8,3,1,113.137,75.5889,0.04,1,1,3,3,13.8137,-0.246002,-1.68046,3,14.2788,0.22674,1.51293,1,2.06159
"slide",202207.9536,441522.1371,2,3,1,90,74.7043,0.04,1,1,2,3,21.1191,-0.995435,0.810031,2,20.5582,2.22473,8.24631,3,4.11621
"slide",200415.2643,440178.5001,4,3,1,86.0232,151.335,0.18,1,1,3,3,27.6868,-0.498221,-0.00745208,2,26.1125,1.23862,6.11485,3,2.50477
"slide",200612.143,440666.1095,7,2,1,40,190.72,0.2,1,1,3,3,22.1942,-0.498325,0.475445,3,22.0662,1.34485,5.69423,1,2.98239
"slide",200308.8821,440675.4303,3,2,2,94.3398,230.307,0.08,1,1,3,3,16.7495,-0.0935388,-0.218981,3,20.7293,0.758635,3.75503,1,2.35796
"slide",200940.3816,441220.3056,9,3,1,158.114,242.011,0.18,1,1,3,3,26.5499,-0.649497,0.556161,3,32.5938,1.26906,7.27257,1,2.0567
"slide",200548.3793,441456.8533,8,2,1,41.2311,128.224,0.24,1,1,3,3,26.4769,0.268215,-0.331334,3,27.9971,0.953561,5.42028,1,2.01807
"slide",200453.6614,440802.7995,4,1,1,50,223.219,0.04,1,1,3,3,17.295,-1.35568,-0.068267,0,15.921,2.56346,7.74733,0,5.01558
"slide",200274.8957,440142.0265,5,4,1,70.7107,160.036,0.03,1,1,3,3,21.7142,0.0650547,-0.0188076,3,27.3369,1.41141,6.95065,1,2.60571
"slide",202053.8313,441792.7241,9,3,1,42.4264,86.3797,0.01,1,1,3,3,13.172,0.554568,-1.18116,3,7.69468,0,0,1,2.00166
"slide",200408.7697,440111.9007,2,3,1,80.6226,148.237,0.19,1,1,3,3,19.8225,-0.447397,-1.38735,2,24.9949,0.874885,4.72725,3,2.14944
"slide",201431.6247,440630.2823,2,2,1,84.8528,110.594,0.05,3,1,3,3,20.0709,0.419867,-1.99262,3,22.5767,0,0,1,0.87759
"slide",199499.8984,440479.1701,7,4,1,70.7107,150.05,0.08,1,1,3,3,25.3876,-0.406078,-0.00347524,2,27.1747,1.72639,8.11631,3,2.96934
"slide",200929.7044,440646.8285,7,2,1,44.7214,204.345,0.17,1,1,3,3,24.8992,0.905269,-0.630666,3,24.4389,0.646515,3.91082,1,1.88731
"slide",200977.1653,439700.5062,6,2,1,58.3095,57.8369,0.04,1,1,3,3,17.4846,0.443504,0.257827,3,20.6328,0.755927,3.7333,1,2.36306
"slide",200648.9665,440091.9855,9,3,1,22.3607,100.881,0.02,1,1,3,3,9.79225,0.031656,0.923151,2,13.1223,0.209545,1.35845,3,2.14936
"slide",199523.9187,440064.8319,6,2,1,36.0555,130.244,0.12,1,1,3,3,23.845,0.550151,0.0138431,3,23.7427,0.631121,3.77507,1,1.91991
"slide",201225.2929,440491.8116,3,3,1,20,129.852,0.05,1,1,3,3,12.5356,-0.765181,0.075578,2,15.0662,1.66903,4.91027,3,4.14556
"slide",200301.5159,440169.1211,5,4,1,92.1954,170.06,0.02,1,1,3,3,22.162,0.00804455,0.104572,3,27.8256,1.83707,8.70929,1,3.03691
"slide",199940.5829,440915.3106,7,2,1,101.98,131.744,0.16,1,1,3,3,20.085,-0.572161,-0.332995,3,24.7702,1.54575,6.92186,1,2.97064
"slide",200514.6773,440059.1493,1,3,1,53.8517,128.313,0.17,1,1,3,3,24.2833,-0.685196,-0.423317,2,26.9464,2.75634,12.8297,3,4.07779
